permanentCode|displayName|displayCode|cost|category|description
BLV|Bow Levy|BL|2|foot|description
RBL|Rabble|Rb|2|foot|description
HRD|Horde|Hd|2|foot|description
ARC|Archer|Arc|4|foot|description
LFT|Light Foot|LFt|3|foot|description
LSP|Light Spear|LSp|3|foot|description
RDR|Raider|Rd|4|foot|description
SKM|Skirmisher|Sk|3|foot|description
WBD|Warband|Wb|4|foot|description
ART|Artillery|Art|4|foot|description
EFT|Elite Foot|EFt|4|foot|description
HFT|Heavy Foot|HFt|3|foot|description
PAV|Pavise|Pv|4|foot|description
PIK|Pike|Pk|3|foot|description
SPR|Spear|Sp|4|foot|description
WWG|Warwagon|WWg|4|foot|description
WRR|Warrior|Wr|4|foot|description
BAD|Bad Horse|BH|3|mounted|description
BTX|Battle Taxi|BTx|3|mounted|description
CML|Camels|Cm|4|mounted|description
CHT|Chariot|Ch|4|mounted|description
ECV|Elite Cavalry|ECv|4|mounted|description
HBW|Horsebow|HBw|4|mounted|description
JCV|JavCav|JCv|4|mounted|description
KNT|Knight|Kn|4|mounted|description
CAT|Cataphract|Cat|4|mounted|description
ELE|Elephant|El|4|mounted|description
