permanentCode|displayName|displayCode|cost|category|order|description|importName|shootingFactor|shotAtFactor|vsFootFactor|vsMountedFactor
BLV|Bow Levy|BL|2|foot|Open|Poorly trained infantry with long-distance missile weapons, untrained in volley fire, and smaller supplies of ammunition. Their long-range fire is weak and ineffective, and they would only use their relatively scarce supply of arrows when an enemy was quite close.  Examples are Elamite massed bowmen, Sicilio-Norman Saracen foot bow, and a wide variety of Biblical and Medieval massed archers without confidence or much training.|Bow Levy|0|3|2|3
RBL|Rabble|Rb|2|foot|Open|Poorly-trained or poorly armed infantry fighting in loose order. Effective enough in bad going, where their native loose order is no disadvantage, but badly outmatched fighting in the open against, well, almost anything. Examples include armed mobs, unshielded peasants throwing rocks or javelins, Libyan hordes, and the like.|Rabble|0|2|2|1
HRD|Horde|Hd|2|foot|Close|Poorly-trained or unwilling infantry fighting in close order. Can be effective in a limited way in the open, for a while. Examples are the great fyrd of the Anglo-Saxons, dikut mati emergency levy of the Neo-Sargonid Assyrians, or conscript infantry of the Sui Chinese million-man army.|Horde|0|2|3|2
ARC|Archers|Arc|4|foot|Open|Infantry armed with long-distance missile weapons, trained in volley fire, and supplied with large numbers of arrows, quarrels or darts.  Examples include Medieval bow and crossbowmen, English longbow, Nabataean archers, Chinese crossbow, Japanese samurai before the Sengoku-jidai, and many others.|Archer|3|3|2|4
LFT|Light Foot|LFt|3|foot|Open|Loose order infantry with javelins, shields and a melee weapon, whether a stabbing spear or sword or other weapon. Loose order makes them weak against mounted, but excellent combatants in bad terrain. Examples are innumerable, but include Thracians, Irish kerns, Ancient Spanish, and Burmese foot.|Light Foot|0|3|3|2
LSP|Light Spear|LSp|3|foot|Open|Loose order foot armed with long spears but no shields; capable of fighting in bad terrain but also fighting against mounted in the open when necessary. Examples include Medieval North Welsh foot, Mountain Indians, Ghurids, Frisian spearmen, or Hittite spear.|Light Spear|0|3|3|3
RDR|Raiders|Rd|4|foot|Open|Fast melee infantry who are better armed and trained and more willing to fight in close combat (with fewer javelins and throwing weapons) than Light Foot, and faster and better in bad going than Heavy or Elite Foot. Examples include Hellenistic thureophoroi and thorakitaii, Early Imperial Roman auxilia, Medieval Spanish sword-and-buckler men, Chinese “dare to die” troops, and early Viking raiders.|Raider|0|3|4|2
SKM|Skirmishers|Sk|3|foot|Open|Loose order troops with long-range missile weapons, but used as individuals (not volley fire) and at short ranges (as close as can be done without personal risk), and with relatively limited ammo supplies. Effective irritants against enemy heavy foot and similar melee-focused infantry where their response of fleeing when overmatched and then regrouping and returning makes for a frustrating battle without good result for the heavy foot. Examples are Balearic slingers, Cretan archers, Medieval handgunners, and so on.|Skirmisher|0|3|2|1
WBD|Warband|Wb|3|foot|Open|Infantry closely related to Warrior in ability and function, but fighting in looser order. This makes them faster and less inhibited by terrain, but less capable in dense formations in the open. Examples include Ancient British, Dark Ages Welsh, some Early German tribes (Batavi and Cherusci in particular), Caledonians, Early Vandals, or early Tamil Indians.|Warband|0|3|3|2
ART|Artillery|Art|3|foot|Close|Battlefield artillery, whether stone-throwing (often portable counterweight models crewed by men pulling ropes, a technique used for thousands of years), bolt-throwing, or early gunpowder weapons. Much longer effective range than anything else on the battlefield, but with a slow reload time they were vulnerable to any enemy group that could get to them. Armies that used artillery include Romans, Alexander the Great, Byzantines, Mongols, and many Medieval armies.|Artillery|4|3|2|2
EFT|Elite Foot|EFt|4|foot|Close|Close-order foot specialized and experienced in fighting against enemy foot, with armor and effective melee weapons. Examples include Spartan and Theban hoplites, Roman legionaries, dismounted Medieval knights, Viking huscarles, armored men with bill or halberd, and the like.|Elite Foot|0|3|5|3
HFT|Heavy Foot|HFt|3|foot|Close|Heavy foot with shields, melee weapons, and sometimes armor fighting in close order but without specific experience or weapons for resisting enemy mounted troops. Effective combatants in good going, especially against infantry. Examples include Anglo-Danes, poorer quality Roman legionaries (especially raw, mutinous, or recently recruited legions), and many Medieval town militias.|Heavy Foot|0|3|4|3
PAV|Pavisiers|Pv|4|foot|Close|A combination formation where a large body of long-distance missile troops are stiffened with a few front ranks of spear or pike, often with the large shield called (in the Middle Ages) a pavise, or similar. As such the formation retained the long-range missile capability of Archers, but with greater ability to hold off enemy mounted and foot. These formations were effective in good going, but performed poorly when the thin front ranks were unable to maintain close formation in bad terrain. Examples are Byzantine kontaratoi, Achaemenid Persian sparabara and the Babylonian formations they inherited from, many formations of the Chinese Warring States period, and Italian Medieval pavisiers.|Pavise|3|3|3|4
PIK|Pikes|Pk|3|foot|Close|Super-long spears used by men fighting in deep formations, allowing multiple ranks of soldiers to fight in a very limited area. This makes them by far the most effective troops in the open when their flanks are secure, but vulnerable to attacks from the flanks (even more than normal troops) and poor in bad going. Examples are Macedonian phalangites, Low Countries pikes, Scots schiltrons, Swiss pikemen, and many more.|Pike|0|3|3|4
SPR|Spear|Sp|4|foot|Close|Close-order foot fighting with long spears in a static formation specifically adopted to resist mounted enemies. Spears as a primary weapon are insufficient evidence (taken alone) to classify troop types as “Spear,” as every troop type includes foot fighting with a spear among its various historical examples. Examples include Rus, and many Medieval spearmen, but not Anglo-Danes or Vikings who fought with shorter spears and had little or no experience resisting mounted foes.|Spear|0|3|4|4
WWG|War Wagons|WWg|3|foot|Close|Portable fortified wagons with missile-armed crew and often light guns. Wagons were used as camp fortifications throughout history, but armies are only allowed war wagons as an element type when they were known to use the wagons in a mobile way during a battle, often as flank guards. Good examples of war wagons are the Hussites and Pechenegs.|Warwagon|3|4|3|4
WRR|Warriors|Wr|3|foot|Close|Infantry relying on a fierce initial charge that can shatter close-order infantry. Their reliance on individual and group aggression means their attack peters out quickly if the enemy survives their initial charge. Warband is a closely related type, with Warrior preferring to fight in tighter formed units in the open. Examples include Gallic and Galatian foot, some Early German tribes, Saxons, Franks, Visigoths, Sumatrans, and others.|Warrior|0|3|3|2
BAD|Bad Horse|BH|3|mounted|Open|Mounted missile troops with very slow reload rates and unwilling or incapable of sustained melee fighting, or other examples of poor or ineffective horse primarily useful for their mobility, not their striking power (against anything). Examples are Medieval mounted crossbow, Assyrian pethalle paired mounted archers, Anglo-Dane huscarles attempting to fight while mounted, late Byzantine poor-quality Stratiotai, Roman Equites Cohortales, poor Chinese cavalry, etc.|Bad Horse|0|2|2|2
